plant_country,country,typ_11,mw_2018,efficiency_factor,co2_factor,fuel_price,co2_price,av_factor,gen_capacity,mc,mean_demand,sd_demand,min_demand,max_demand
Austria,AT,g2,829.9841,.37,.191,20.23,20,.79000002,655.68744,65,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,o3,119.964,.35,.27399999,37.130001,20,.81,97.170837,121.74286,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,r1,8817.491440399997,1,0,12,20,.5,4408.7456,12,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,res,8517.6522066,.7054545454545456,0,0,20,.30000001,2555.2957,0,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,o1,177.4672,.355,.27399999,37.130001,20,.80000001,141.97375,120.02817,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,g3,3133.28813,.5533333333333333,.191,20.23,20,.81,2537.9634,43.463856,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,g4,.844,.36,.191,20.23,20,.74000001,.62456,66.805557,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,g1,420.4895959999999,.3433333333333333,.191,20.23,20,.80000001,336.39169,70.048546,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,o2,295.9908,.37,.27399999,37.130001,20,.79000002,233.83273,115.16216,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,c2,365,.3575,.33700001,8.8900003,20,.76999998,281.04999,43.72028,7265.9082,1418.0259,4223.2998,10802.9
Austria,AT,c1,226.9546,.33,.38499999,7.112,20,.80000001,181.56369,44.88485,7265.9082,1418.0259,4223.2998,10802.9
Belgium,BE,o2,43.3,.4,.27399999,37.130001,20,.79000002,34.207001,106.525,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,c2,0,.3675,.33700001,8.8900003,20,.76999998,0,42.530613,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,o1,145.6,.34,.27399999,37.130001,20,.80000001,116.48,125.32353,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,g4,183.196,.36,.191,20.23,20,.74000001,135.56505,66.805557,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,g3,3577,.5599999999999999,.191,20.23,20,.81,2897.3701,42.946426,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,o3,350,.35,.27399999,37.130001,20,.81,283.5,121.74286,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,r1,100.0520000000001,1,0,12,20,.5,50.026001,12,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,g1,961.6000000000001,.3433333333333333,.191,20.23,20,.80000001,769.28003,70.048546,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,o4,43.208,.3500000071525574,.27399999,37.130001,20,.74000001,31.973921,121.74286,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,res,7360.832070000003,.676,0,0,20,.30000001,2208.2498,0,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,g2,641.8,.4,.191,20.23,20,.79000002,507.022,60.125,9987.0684,1322.6182,6832.7876,13231.33
Belgium,BE,n,5838.206799999994,1,.029999999,9,20,.83999997,4904.0938,9.6000004,9987.0684,1322.6182,6832.7876,13231.33
Bulgaria,BG,g3,50,.61,.191,20.23,20,.81,40.5,39.426228,4358.3354,884.83801,2618,7131
Bulgaria,BG,g1,17.84,.38,.191,20.23,20,.80000001,14.272,63.289471,4358.3354,884.83801,2618,7131
Bulgaria,BG,res,2391.95,.8100000000000001,0,0,20,.30000001,717.58502,0,4358.3354,884.83801,2618,7131
Bulgaria,BG,g2,214,.4,.191,20.23,20,.79000002,169.06,60.125,4358.3354,884.83801,2618,7131
Bulgaria,BG,g4,8.800000000000001,.36,.191,20.23,20,.74000001,6.5120001,66.805557,4358.3354,884.83801,2618,7131
Bulgaria,BG,c2,219.2,.34,.33700001,8.8900003,20,.76999998,168.784,45.970589,4358.3354,884.83801,2618,7131
Bulgaria,BG,n,2153,1,.029999999,9,20,.83999997,1808.5199,9.6000004,4358.3354,884.83801,2618,7131
Bulgaria,BG,c1,4647,.3627272727272727,.38499999,7.112,20,.80000001,3717.6001,40.835087,4358.3354,884.83801,2618,7131
Bulgaria,BG,r1,1946.951,1,0,12,20,.5,973.47552,12,4358.3354,884.83801,2618,7131
Switzerland,CH,r1,11426.87979379999,1,0,12,20,.5,5713.4399,12,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,g2,20,.38,.191,20.23,20,.79000002,15.8,63.289471,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,g1,57.96,.365,.191,20.23,20,.80000001,46.368,65.890411,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,c2,20,.38,.33700001,8.8900003,20,.76999998,15.4,41.13158,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,res,6281.047655999999,.6239999999999999,0,0,20,.30000001,1884.3143,0,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,o4,24.33,.32,.27399999,37.130001,20,.74000001,18.0042,133.15625,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,o1,54.12,.355,.27399999,37.130001,20,.80000001,43.296001,120.02817,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,g4,.36,.36,.191,20.23,20,.74000001,.26640001,66.805557,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,g3,170.17,.57,.191,20.23,20,.81,137.83771,42.192982,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,n,3220.2135,1,.029999999,9,20,.83999997,2704.9792,9.6000004,6725.4556,941.22107,4252.0098,9826
Switzerland,CH,o2,0,.36,.27399999,37.130001,20,.79000002,0,118.36111,6725.4556,941.22107,4252.0098,9826
Cyprus,CY,g3,220,.61,.191,20.23,20,.81,178.2,39.426228,502.91406,124.24499,271.20001,902.39001
Cyprus,CY,o2,750,.4,.27399999,37.130001,20,.79000002,592.5,106.525,502.91406,124.24499,271.20001,902.39001
Cyprus,CY,res,212.9,1,0,0,20,.30000001,63.870003,0,502.91406,124.24499,271.20001,902.39001
Cyprus,CY,o3,220,.6000000238418579,.27399999,37.130001,20,.81,178.2,71.016663,502.91406,124.24499,271.20001,902.39001
Cyprus,CY,o1,188,.38,.27399999,37.130001,20,.80000001,150.40001,112.13158,502.91406,124.24499,271.20001,902.39001
Czech Republic,CZ,res,3673.195,.8,0,0,20,.30000001,1101.9585,0,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,n,3848,1,.029999999,9,20,.83999997,3232.3198,9.6000004,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,o4,22,.3600000143051147,.27399999,37.130001,20,.74000001,16.280001,118.36111,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,r1,865.984,1,0,12,20,.5,432.992,12,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,c1,8683.670130000002,.3627272727272727,.38499999,7.112,20,.80000001,6946.936,40.835087,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,g3,1342.70237,.59,.191,20.23,20,.81,1087.5889,40.762711,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,g2,59.4,.44,.191,20.23,20,.79000002,46.926003,54.659088,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,g1,321.3,.365,.191,20.23,20,.80000001,257.04001,65.890411,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,c2,1943.81,.3725,.33700001,8.8900003,20,.76999998,1496.7336,41.959732,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,g4,25.253,.36,.191,20.23,20,.74000001,18.68722,66.805557,7622.8594,1304.0376,4650.6401,11142.18
Czech Republic,CZ,o2,108.75,.4,.27399999,37.130001,20,.79000002,85.912506,106.525,7622.8594,1304.0376,4650.6401,11142.18
Germany,DE,o3,13,.35,.27399999,37.130001,20,.81,10.53,121.74286,58062.836,9891.7705,35434.309,78326.914
Germany,DE,c1,21182.9,.3699999999999999,.38499999,7.112,20,.80000001,16946.32,40.032433,58062.836,9891.7705,35434.309,78326.914
Germany,DE,g4,335.556,.36,.191,20.23,20,.74000001,248.31145,66.805557,58062.836,9891.7705,35434.309,78326.914
Germany,DE,g3,16648.1645,.5414285714285715,.191,20.23,20,.81,13485.014,44.419525,58062.836,9891.7705,35434.309,78326.914
Germany,DE,r1,2901.133221999999,1,0,12,20,.5,1450.5667,12,58062.836,9891.7705,35434.309,78326.914
Germany,DE,o4,69.3,.3500000071525574,.27399999,37.130001,20,.74000001,51.282001,121.74286,58062.836,9891.7705,35434.309,78326.914
Germany,DE,o2,1407.86,.3933333333333334,.27399999,37.130001,20,.79000002,1112.2095,108.33051,58062.836,9891.7705,35434.309,78326.914
Germany,DE,n,9467.999999999998,1,.029999999,9,20,.83999997,7953.1196,9.6000004,58062.836,9891.7705,35434.309,78326.914
Germany,DE,res,108005.4313167999,.6240000000000001,0,0,20,.30000001,32401.631,0,58062.836,9891.7705,35434.309,78326.914
Germany,DE,c2,24901.6374,.3727272727272727,.33700001,8.8900003,20,.76999998,19174.26,41.934147,58062.836,9891.7705,35434.309,78326.914
Germany,DE,o1,1479.2,.3533333333333333,.27399999,37.130001,20,.80000001,1183.36,120.59435,58062.836,9891.7705,35434.309,78326.914
Germany,DE,g2,4226.35814,.3733333333333333,.191,20.23,20,.79000002,3338.823,64.41964,58062.836,9891.7705,35434.309,78326.914
Germany,DE,g1,3603.057800000001,.3433333333333333,.191,20.23,20,.80000001,2882.4463,70.048546,58062.836,9891.7705,35434.309,78326.914
Denmark,DK,res,8510.564400000001,.58,0,0,20,.30000001,2553.1694,0,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,g1,461.1948,.365,.191,20.23,20,.80000001,368.95584,65.890411,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,c2,2532,.3724999999999999,.33700001,8.8900003,20,.76999998,1949.6399,41.959732,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,g3,390.8,.5566666666666666,.191,20.23,20,.81,316.548,43.20359,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,o1,203,.34,.27399999,37.130001,20,.80000001,162.40001,125.32353,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,g2,127.5,.388,.191,20.23,20,.79000002,100.72501,61.984535,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,o2,574.9,.3866666666666667,.27399999,37.130001,20,.79000002,454.17102,110.19828,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,r1,5.9,1,0,12,20,.5,2.95,12,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,o4,139.577,.333333338101705,.27399999,37.130001,20,.74000001,103.28698,127.83,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,c1,45,.395,.38499999,7.112,20,.80000001,36,37.498734,3834.49,743.86591,2253.99,7731.0601
Denmark,DK,g4,843.1309599999998,.35,.191,20.23,20,.74000001,623.91693,68.714287,3834.49,743.86591,2253.99,7731.0601
Estonia,EE,g2,190,.4,.191,20.23,20,.79000002,150.10001,60.125,965.27002,211.22879,451.5,1547.4
Estonia,EE,o4,8,.34,.27399999,37.130001,20,.74000001,5.9200001,125.32353,965.27002,211.22879,451.5,1547.4
Estonia,EE,g4,5.95,.36,.191,20.23,20,.74000001,4.4029999,66.805557,965.27002,211.22879,451.5,1547.4
Estonia,EE,res,682.3999999999999,.72,0,0,20,.30000001,204.72,0,965.27002,211.22879,451.5,1547.4
Estonia,EE,g1,258,.365,.191,20.23,20,.80000001,206.40001,65.890411,965.27002,211.22879,451.5,1547.4
Estonia,EE,o2,2369,.4,.27399999,37.130001,20,.79000002,1871.51,106.525,965.27002,211.22879,451.5,1547.4
Spain,ES,res,35754.0849,.6490909090909092,0,0,20,.30000001,10726.226,0,29064.064,4626.6533,18179,40693
Spain,ES,c1,5365.22,.3844444444444444,.38499999,7.112,20,.80000001,4292.1763,38.528324,29064.064,4626.6533,18179,40693
Spain,ES,o1,1314.5751,.3533333333333333,.27399999,37.130001,20,.80000001,1051.6602,120.59435,29064.064,4626.6533,18179,40693
Spain,ES,g3,26895.976,.58,.191,20.23,20,.81,21785.74,41.465515,29064.064,4626.6533,18179,40693
Spain,ES,r1,14515.1484974,1,0,12,20,.5,7257.5742,12,29064.064,4626.6533,18179,40693
Spain,ES,o4,264.130233,.3500000071525574,.27399999,37.130001,20,.74000001,195.45638,121.74286,29064.064,4626.6533,18179,40693
Spain,ES,n,7148.310000000001,1,.029999999,9,20,.83999997,6004.5801,9.6000004,29064.064,4626.6533,18179,40693
Spain,ES,c2,4922.41,.3916666666666667,.33700001,8.8900003,20,.76999998,3790.2556,39.906384,29064.064,4626.6533,18179,40693
Spain,ES,o2,1289.9878801,.4,.27399999,37.130001,20,.79000002,1019.0905,106.525,29064.064,4626.6533,18179,40693
Spain,ES,g2,278.614217,.4133333333333333,.191,20.23,20,.79000002,220.10524,58.185482,29064.064,4626.6533,18179,40693
Spain,ES,g1,3323.769977999999,.3433333333333333,.191,20.23,20,.80000001,2659.0161,70.048546,29064.064,4626.6533,18179,40693
Spain,ES,g4,143.717,.36,.191,20.23,20,.74000001,106.35058,66.805557,29064.064,4626.6533,18179,40693
Spain,ES,o3,219,.35,.27399999,37.130001,20,.81,177.39,121.74286,29064.064,4626.6533,18179,40693
Finland,FI,g2,312.9,.4,.191,20.23,20,.79000002,247.19101,60.125,9792.7422,1634.1708,6347.8999,14062
Finland,FI,n,2821.823000000001,1,.029999999,9,20,.83999997,2370.3313,9.6000004,9792.7422,1634.1708,6347.8999,14062
Finland,FI,c2,1658.5897,.3725,.33700001,8.8900003,20,.76999998,1277.114,41.959732,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o1,624.9999999999993,.355,.27399999,37.130001,20,.80000001,500,120.02817,9792.7422,1634.1708,6347.8999,14062
Finland,FI,res,6762.447920999998,.5771428571428572,0,0,20,.30000001,2028.7345,0,9792.7422,1634.1708,6347.8999,14062
Finland,FI,g1,671.1072,.3433333333333333,.191,20.23,20,.80000001,536.88574,70.048546,9792.7422,1634.1708,6347.8999,14062
Finland,FI,g3,1831.42094,.5439999999999999,.191,20.23,20,.81,1483.4509,44.209557,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o4,30.44,.34,.27399999,37.130001,20,.74000001,22.5256,125.32353,9792.7422,1634.1708,6347.8999,14062
Finland,FI,c1,26.7,.3666666666666666,.38499999,7.112,20,.80000001,21.360001,40.396362,9792.7422,1634.1708,6347.8999,14062
Finland,FI,g4,40.9,.35,.191,20.23,20,.74000001,30.266001,68.714287,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o3,0,.6000000238418579,.27399999,37.130001,20,.81,0,71.016663,9792.7422,1634.1708,6347.8999,14062
Finland,FI,r1,3396.307120000002,1,0,12,20,.5,1698.1536,12,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o2,119,.4133333333333333,.27399999,37.130001,20,.79000002,94.010002,103.08871,9792.7422,1634.1708,6347.8999,14062
France,FR,res,27115.195165,.6781818181818182,0,0,20,.30000001,8134.5591,0,53809.922,11919.481,30630,94492
France,FR,n,62949.127,1,.029999999,9,20,.83999997,52877.266,9.6000004,53809.922,11919.481,30630,94492
France,FR,g2,249.652,.3800000000000001,.191,20.23,20,.79000002,197.22508,63.289471,53809.922,11919.481,30630,94492
France,FR,r1,19690.0755,1,0,12,20,.5,9845.0381,12,53809.922,11919.481,30630,94492
France,FR,o2,0,.3933333333333334,.27399999,37.130001,20,.79000002,0,108.33051,53809.922,11919.481,30630,94492
France,FR,c1,642.5,.3766666666666666,.38499999,7.112,20,.80000001,514,39.323895,53809.922,11919.481,30630,94492
France,FR,g1,2265.340000000001,.38,.191,20.23,20,.80000001,1812.272,63.289471,53809.922,11919.481,30630,94492
France,FR,g3,6154.000000000001,.5499999999999999,.191,20.23,20,.81,4984.7402,43.727272,53809.922,11919.481,30630,94492
France,FR,o1,1689,.3533333333333333,.27399999,37.130001,20,.80000001,1351.2001,120.59435,53809.922,11919.481,30630,94492
France,FR,g4,2.653,.36,.191,20.23,20,.74000001,1.96322,66.805557,53809.922,11919.481,30630,94492
France,FR,o4,247,.34,.27399999,37.130001,20,.74000001,182.78,125.32353,53809.922,11919.481,30630,94492
France,FR,c2,2348,.34,.33700001,8.8900003,20,.76999998,1807.96,45.970589,53809.922,11919.481,30630,94492
Greece,GR,o1,419.6,.3533333333333333,.27399999,37.130001,20,.80000001,335.67999,120.59435,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,c2,0,.48,.33700001,8.8900003,20,.76999998,0,32.5625,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,o2,313.35,.4,.27399999,37.130001,20,.79000002,247.54651,106.525,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,r1,2513.800000000001,1,0,12,20,.5,1256.9,12,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,g3,5170.382,.59,.191,20.23,20,.81,4188.0093,40.762711,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,g1,233.362,.38,.191,20.23,20,.80000001,186.68961,63.289471,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,res,5958.070000000002,.895,0,0,20,.30000001,1787.421,0,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,g2,0,.44,.191,20.23,20,.79000002,0,54.659088,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,c1,3912,.36,.38499999,7.112,20,.80000001,3129.6001,41.144444,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,o4,385.5,.3500000071525574,.27399999,37.130001,20,.74000001,285.26999,121.74286,5847.9478,1065.7405,3339.73,9111.6104
Croatia,HR,g2,0,.44,.191,20.23,20,.79000002,0,54.659088,2074.7915,386.83014,1232,3156
